,1,1:0.52076 2:0.922222 3:0.212121 5:0.223514 6:0.391176 7:0.740157 8:0.874016 9:0.681102 10:0.177471 13:1 47:1
0,0,1:0.15908 2:0.833333 3:0.424242 4:0.125268 5:0.338501 6:0.122243 7:0.515748 8:0.850394 9:0.862205 10:0.123101 14:1 24:1
1,0,1:0.515258 2:0.430556 3:0.151515 4:0.214746 5:0.222222 6:0.25966 7:0.909449 8:0.948819 9:0.555118 10:0.18235 13:1 46:1
2,0,1:0.214607 2:0.3 3:0.378788 4:0.167502 5:0.354005 6:0.141633 7:0.996063 8:0.795276 9:0.244094 10:0.18235 14:1 17:1
3,1,1:0.563782 2:0.483333 3:0.272727 4:0.167502 5:0.245478 6:0.675144 7:0.897638 8:0.968504 9:0.559055 10:0.0897811 11:1 44:1
4,0,1:0.15958 2:0.872222 3:0.454545 4:0.0214746 5:0.248062 6:0.161304 7:0.5 8:0.791339 9:0.811024 10:0.11376 14:1 31:1
5,1,1:0.568284 2:0.647222 3:0.212121 4:0.456693 5:0.338501 6:0.833497 7:0.771654 8:0.992126 9:0.751969 10:0.486129 11:1 43:1
6,1,1:0.443222 2:0.05 3:0.136364 4:0.0214746 5:0.224806 6:0.0840242 7:0.838583 8:0.866142 9:0.566929 10:0.342256 13:1 31:1
7,0,1:0.322661 2:0.916667 3:0.212121 4:0.130279 5:0.317829 6:0.17114 7:0.728346 8:0.874016 9:0.692913 10:0.0637111 14:1 20:1
8,0,1:0.169085 2:0.0361111 3:0.136364 5:0.223514 6:0.199944 7:0.830709 8:0.870079 9:0.574803 10:0.0769552 14:1 28:1
9,1,1:0.403702 2:0.0777778 3:0.212121 4:0.173228 5:0.264858 6:0.0422931 7:0.84252 8:0.822835 9:0.503937 10:0.0582741 13:1 25:1
10,0,1:0.181091 2:0.175 3:0.19697 5:0.223514 6:0.194323 7:0.909449 8:0.834646 9:0.437008 10:0.0768158 14:1 16:1
11,0,1:0.246623 2:0.905556 3:0.166667 4:0.0214746 5:0.22739 6:0.177322 7:0.759843 8:0.897638 9:0.688976 10:0.0842047 14:1 30:1
12,1,1:0.465733 2:0.608333 3:0.378788 4:0.219041 5:0.44186 6:0.0879584 7:0.720472 8:1 9:0.771654 10:0.232539 13:1 47:1
13,0,1:0.721861 2:0.277778 3:0.363636 4:0.23121 5:0.357881 6:0.242096 7:0.988189 8:0.791339 9:0.255906 10:0.406246 11:1 53:1
14,1,1:0.477239 2:0.325 3:0.19697 4:0.0644238 5:0.237726 6:0.13545 7:0.948819 8:0.897638 9:0.448819 10:0.284121 11:1 43:1
15,0,1:0.216608 2:0.377778 3:0.287879 4:0.18325 5:0.390181 6:0.200787 7:0.968504 8:0.901575 9:0.409449 10:0.124076 14:1 17:1
16,0,1:0.214107 2:0.311111 3:0.424242 4:0.154617 5:0.308786 6:0.0834621 7:1 8:0.779528 9:0.204724 10:0.236721 14:1 17:1
17,0,1:0.208104 2:0.275 3:0.378788 4:0.151754 5:0.337209 6:0.144162 7:0.988189 8:0.771654 9:0.228346 10:0.179005 14:1 17:1
18,1,1:0.613807 2:0.605556 3:0.166667 4:0.375805 5:0.316537 6:0.332443 7:0.814961 8:0.988189 9:0.704724 10:0.210093 13:1 46:1
